Wallet,BONK_Mainnet,BONK_CSV,BONK_Diff,SOL_Mainnet,SOL_CSV,SOL_Diff,USDC_Mainnet,USDC_CSV,USDC_Diff,USDT_Mainnet,USDT_CSV,USDT_Diff,WSOL_Mainnet,WSOL_CSV,WSOL_Diff,Last Sync
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,0.0,0.0,0.0,2.980575,0.0,2.980575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,0.0,0.0,0.0,10.00009,0.0,10.00009,0.0,0.0,0.0,0.0,0.0,0.0,1.0001,0.0,1.0001,
ZG98FUCjb8mJ824Gbs6RsgVmr1FhXb2oNiJHa2dwmPd,0.0,0.0,0.0,10.173124,0.0,10.173124,0.25197,0.0,0.25197,0.0,0.0,0.0,6.619921,0.0,6.619921,
GDFsGLuJNT3SuDauKmvLpHm9DMNkwWrsN574gvrgnzk3,0.0,0.0,0.0,1.005633,0.0,1.005633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6Su3CvAxazKcjQLRBJyMVbToM9zdT12VnY7pdj2NEAXH,0.0,0.0,0.0,1453.934074,0.0,1453.934074,945232.78338,0.0,945232.78338,0.0,0.0,0.0,0.0,0.0,0.0,
572baVHC2MxXeNQfqtDsjYdHqeGABmquvGD4fc57Ra8M,0.0,0.0,0.0,1453.933983,0.0,1453.933983,945232.78338,0.0,945232.78338,0.0,0.0,0.0,0.0,0.0,0.0,
6FkBcUcQcW45A6Q2zu6dniFNTg9x3zzzRYUAhgwJ4dc4,0.0,0.0,0.0,0.007946,0.0,0.007946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
D316VNcwiZBkpmtzSh63GH5j9xMdkGnutUoSMeFZdMCC,0.0,0.0,0.0,0.097934,0.0,0.097934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
95g7htdVvYkLLPLVW8CoJGPTRsVjKiMMW1K6MDbNfGF1,0.0,0.0,0.0,328.398753,0.0,328.398753,2.015695,0.0,2.015695,0.0,0.0,0.0,0.0,0.0,0.0,
2Ucp5f13wYycJdtfJHLVcdtPUDJqXFvUxCdXCNrmkC8P,0.0,0.0,0.0,3.530832,0.0,3.530832,50000.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,
83Vz1jMgh1yAm7CzPpxkyVCUh5zc63LrrYNUkP2sQjbA,0.0,0.0,0.0,0.171052,0.0,0.171052,3.711783,0.0,3.711783,0.0,0.0,0.0,0.0,0.0,0.0,
91kg3MxN9gXdAW3YCsBdqJ2etuf3WoQzCfUqMzupuk7e,0.0,0.0,0.0,0.99874,0.0,0.99874,1045.409651,0.0,1045.409651,0.0,0.0,0.0,0.0,0.0,0.0,
GLapwXf7kZQBWp9dMZH7k5TcdPHprrhkCpN3BsLLJ2pN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2fV9kPRSdCvCpNdcLU6Cemtvf7E22eddcnxAhjFaohqg,0.0,0.0,0.0,58.464039,0.0,58.464039,12526.246334,0.0,12526.246334,0.0,0.0,0.0,0.0,0.0,0.0,
6EzG2SLsD5Gd9HFqQW3iSMRLJJfPDkzE8LSwNb3aktBz,0.0,0.0,0.0,0.912504,0.0,0.912504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5KuVn3Ww4oNd16R763oPZsD4TnpFHrr2TDRUQHZvjMEj,0.0,0.0,0.0,1.033558,0.0,1.033558,0.001762,0.0,0.001762,0.0,0.0,0.0,0.163417,0.0,0.163417,
Jvuzwu4dTSBgdKWeJjdhHDpz8XEkMQqFhfi7ePY7kzv,0.0,0.0,0.0,9.999995,0.0,9.999995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,
6BSxVeqT3bcjYW8jFjxr2Df5kf4BoGefWaeJAuEpKLJX,0.0,0.0,0.0,1454.935162,0.0,1454.935162,3395880.883108,0.0,3395880.883108,0.0,0.0,0.0,0.0,0.0,0.0,
84DGj4Qpypcaa5uxdzphYzkutEUTvxLWSuWq3BoJLxkp,0.0,0.0,0.0,199.4569,0.0,199.4569,0.010001,0.0,0.010001,0.0,0.0,0.0,0.0,0.0,0.0,
87q5VhRAC8L2WX9gLwiigbHXMkdwU56cjGkBsPtUrncB,0.0,0.0,0.0,0.099497,0.0,0.099497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CXZinB62qBAGJpMymVSrE4oi6jy85ZUmGdWGMsECf9bN,0.0,0.0,0.0,0.78603,0.0,0.78603,109.566917,0.0,109.566917,0.0,0.0,0.0,0.0,0.0,0.0,
GViJHLkWt12RcR6QkZBVybWzeG6g31ZHwRz2MCwNtWee,0.0,0.0,0.0,83.426192,0.0,83.426192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
FDcnoqz44hqPQqntWnpjPmzaynasCrMz81EDTWffgBGT,0.0,0.0,0.0,8.579848,0.0,8.579848,111.617947,0.0,111.617947,0.0,0.0,0.0,0.0,0.0,0.0,
4mNSrPhWCEUuCH3L4LMfeyiNyDBvJcFVU1PwYpybnyhJ,0.0,0.0,0.0,4532.179268,0.0,4532.179268,8336549.82603,0.0,8336549.82603,0.0,0.0,0.0,0.0,0.0,0.0,
HHiYxeuMq27kNmjD3zGj1mo6BBUhG8btRceq2p8iAv9P,0.0,0.0,0.0,24.776437,0.0,24.776437,36788.635616,0.0,36788.635616,0.0,0.0,0.0,0.0,0.0,0.0,
HvDzh6pzvjukAFUSajhkFgumhMLCUMjhMdFABbuc9YqL,0.0,0.0,0.0,1030.815296,0.0,1030.815296,6003.503364,0.0,6003.503364,0.0,0.0,0.0,0.0,0.0,0.0,
