Wallet,SOL_Mainnet,SOL_CSV,SOL_Diff,WSOL_Mainnet,WSOL_CSV,WSOL_Diff,USDC_Mainnet,USDC_CSV,USDC_Diff,USDT_Mainnet,USDT_CSV,USDT_Diff,BONK_Mainnet,BONK_CSV,BONK_Diff,Last Sync
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,2.980574613,0.0,2.980574613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,10.00069,0.0,10.00069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ZG98FUCjb8mJ824Gbs6RsgVmr1FhXb2oNiJHa2dwmPd,10.09736848,0.0,10.09736848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GDFsGLuJNT3SuDauKmvLpHm9DMNkwWrsN574gvrgnzk3,1.005633405,0.0,1.005633405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6Su3CvAxazKcjQLRBJyMVbToM9zdT12VnY7pdj2NEAXH,1397.555695382,0.0,1397.555695382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
572baVHC2MxXeNQfqtDsjYdHqeGABmquvGD4fc57Ra8M,1397.555604469,0.0,1397.555604469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6FkBcUcQcW45A6Q2zu6dniFNTg9x3zzzRYUAhgwJ4dc4,0.00794572,0.0,0.00794572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
D316VNcwiZBkpmtzSh63GH5j9xMdkGnutUoSMeFZdMCC,0.09793372,0.0,0.09793372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
95g7htdVvYkLLPLVW8CoJGPTRsVjKiMMW1K6MDbNfGF1,328.289400226,0.0,328.289400226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2Ucp5f13wYycJdtfJHLVcdtPUDJqXFvUxCdXCNrmkC8P,3.530831752,0.0,3.530831752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
83Vz1jMgh1yAm7CzPpxkyVCUh5zc63LrrYNUkP2sQjbA,0.171052379,0.0,0.171052379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
91kg3MxN9gXdAW3YCsBdqJ2etuf3WoQzCfUqMzupuk7e,0.998739541,0.0,0.998739541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GLapwXf7kZQBWp9dMZH7k5TcdPHprrhkCpN3BsLLJ2pN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2fV9kPRSdCvCpNdcLU6Cemtvf7E22eddcnxAhjFaohqg,55.628948137,0.0,55.628948137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6EzG2SLsD5Gd9HFqQW3iSMRLJJfPDkzE8LSwNb3aktBz,0.912503884,0.0,0.912503884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5KuVn3Ww4oNd16R763oPZsD4TnpFHrr2TDRUQHZvjMEj,1.033150216,0.0,1.033150216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jvuzwu4dTSBgdKWeJjdhHDpz8XEkMQqFhfi7ePY7kzv,10.000001386,0.0,10.000001386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6BSxVeqT3bcjYW8jFjxr2Df5kf4BoGefWaeJAuEpKLJX,1398.556783654,0.0,1398.556783654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
84DGj4Qpypcaa5uxdzphYzkutEUTvxLWSuWq3BoJLxkp,127.271825538,0.0,127.271825538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
87q5VhRAC8L2WX9gLwiigbHXMkdwU56cjGkBsPtUrncB,0.099497033,0.0,0.099497033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CXZinB62qBAGJpMymVSrE4oi6jy85ZUmGdWGMsECf9bN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GViJHLkWt12RcR6QkZBVybWzeG6g31ZHwRz2MCwNtWee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
FDcnoqz44hqPQqntWnpjPmzaynasCrMz81EDTWffgBGT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4mNSrPhWCEUuCH3L4LMfeyiNyDBvJcFVU1PwYpybnyhJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HHiYxeuMq27kNmjD3zGj1mo6BBUhG8btRceq2p8iAv9P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HvDzh6pzvjukAFUSajhkFgumhMLCUMjhMdFABbuc9YqL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
